start,end,duration,samples,track_id,athlete_id,role,position
5056.0,5057.0,1.0,1,track_1,,unknown,unknown
5057.0,5058.0,1.0,1,track_0,,unknown,unknown
5057.0,5058.0,1.0,1,track_1,,unknown,unknown
5058.0,5059.0,1.0,1,track_0,,unknown,unknown
5058.0,5059.0,1.0,1,track_1,,unknown,unknown
5059.0,5060.0,1.0,1,track_0,,unknown,unknown
5059.0,5060.0,1.0,1,track_1,,unknown,unknown
5060.0,5061.0,1.0,1,track_0,,unknown,unknown
5060.0,5061.0,1.0,1,track_1,,unknown,unknown
5061.0,5062.0,1.0,1,track_0,,unknown,unknown
5061.0,5062.0,1.0,1,track_1,,unknown,unknown
5062.0,5063.0,1.0,1,track_0,,unknown,unknown
5062.0,5063.0,1.0,1,track_1,,unknown,unknown
5063.0,5064.0,1.0,1,track_0,,unknown,unknown
5063.0,5064.0,1.0,1,track_1,,unknown,unknown
5064.0,5065.0,1.0,1,track_0,,unknown,unknown
5064.0,5065.0,1.0,1,track_1,,unknown,unknown
5065.0,5066.0,1.0,1,track_0,,unknown,unknown
5065.0,5066.0,1.0,1,track_1,,unknown,unknown
5066.0,5067.0,1.0,1,track_0,,unknown,unknown
5066.0,5067.0,1.0,1,track_1,,unknown,unknown
5067.0,5068.0,1.0,1,track_0,,unknown,unknown
5067.0,5068.0,1.0,1,track_1,,unknown,unknown
5068.0,5069.0,1.0,1,track_0,,unknown,unknown
5068.0,5069.0,1.0,1,track_1,,unknown,unknown
5069.0,5070.0,1.0,1,track_0,,unknown,unknown
5069.0,5070.0,1.0,1,track_1,,unknown,unknown
5070.0,5071.0,1.0,1,track_0,,unknown,unknown
5070.0,5071.0,1.0,1,track_1,,unknown,unknown
5071.0,5072.0,1.0,1,track_0,,unknown,unknown
5071.0,5072.0,1.0,1,track_1,,unknown,unknown
5072.0,5073.0,1.0,1,track_0,,unknown,unknown
5072.0,5073.0,1.0,1,track_1,,unknown,unknown
5073.0,5074.0,1.0,1,track_0,,unknown,unknown
5073.0,5074.0,1.0,1,track_1,,unknown,unknown
5074.0,5075.0,1.0,1,track_0,,unknown,unknown
5074.0,5075.0,1.0,1,track_1,,unknown,unknown
5075.0,5076.0,1.0,1,track_0,,unknown,unknown
5075.0,5076.0,1.0,1,track_1,,unknown,unknown
5076.0,5077.0,1.0,1,track_0,,unknown,unknown
5076.0,5077.0,1.0,1,track_1,,unknown,unknown
5077.0,5078.0,1.0,1,track_0,,unknown,unknown
5077.0,5078.0,1.0,1,track_1,,unknown,unknown
5078.0,5079.0,1.0,1,track_0,,unknown,unknown
5078.0,5079.0,1.0,1,track_1,,unknown,unknown
5079.0,5080.0,1.0,1,track_0,,unknown,unknown
5079.0,5080.0,1.0,1,track_1,,unknown,unknown
5080.0,5081.0,1.0,1,track_0,,unknown,unknown
5080.0,5081.0,1.0,1,track_1,,unknown,unknown
5081.0,5082.0,1.0,1,track_0,,unknown,unknown
5081.0,5082.0,1.0,1,track_1,,unknown,unknown
5082.0,5083.0,1.0,1,track_0,,unknown,unknown
5082.0,5083.0,1.0,1,track_1,,unknown,unknown
5083.0,5084.0,1.0,1,track_0,,unknown,unknown
5083.0,5084.0,1.0,1,track_1,,unknown,unknown
5084.0,5085.0,1.0,1,track_0,,unknown,unknown
5084.0,5085.0,1.0,1,track_1,,unknown,unknown
5085.0,5086.0,1.0,1,track_0,,top,back
5085.0,5086.0,1.0,1,track_1,,unknown,unknown
5086.0,5087.0,1.0,1,track_0,,unknown,unknown
5086.0,5087.0,1.0,1,track_1,,unknown,unknown
5087.0,5088.0,1.0,1,track_0,,unknown,unknown
5087.0,5088.0,1.0,1,track_1,,unknown,unknown
5088.0,5089.0,1.0,1,track_0,,unknown,unknown
5088.0,5089.0,1.0,1,track_1,,unknown,unknown
5089.0,5090.0,1.0,1,track_0,,unknown,unknown
5089.0,5090.0,1.0,1,track_1,,unknown,unknown
5090.0,5091.0,1.0,1,track_0,,unknown,unknown
5090.0,5091.0,1.0,1,track_1,,unknown,unknown
5091.0,5092.0,1.0,1,track_0,,unknown,unknown
5091.0,5092.0,1.0,1,track_1,,unknown,unknown
5092.0,5093.0,1.0,1,track_0,,unknown,unknown
5092.0,5093.0,1.0,1,track_1,,unknown,unknown
5093.0,5094.0,1.0,1,track_0,,unknown,unknown
5093.0,5094.0,1.0,1,track_1,,unknown,unknown
5094.0,5095.0,1.0,1,track_0,,unknown,unknown
5094.0,5095.0,1.0,1,track_1,,unknown,unknown
5095.0,5096.0,1.0,1,track_0,,unknown,unknown
5095.0,5096.0,1.0,1,track_1,,unknown,unknown
5096.0,5097.0,1.0,1,track_0,,unknown,unknown
5096.0,5097.0,1.0,1,track_1,,unknown,unknown
5097.0,5098.0,1.0,1,track_0,,unknown,unknown
5097.0,5098.0,1.0,1,track_1,,unknown,unknown
5098.0,5099.0,1.0,1,track_0,,unknown,unknown
5098.0,5099.0,1.0,1,track_1,,unknown,unknown
5099.0,5100.0,1.0,1,track_0,,unknown,unknown
5099.0,5100.0,1.0,1,track_1,,unknown,unknown
5100.0,5101.0,1.0,1,track_0,,unknown,unknown
5100.0,5101.0,1.0,1,track_1,,unknown,unknown
5101.0,5102.0,1.0,1,track_0,,unknown,standing
5101.0,5102.0,1.0,1,track_1,,unknown,unknown
5102.0,5103.0,1.0,1,track_0,,unknown,standing
5102.0,5103.0,1.0,1,track_1,,unknown,unknown
5103.0,5104.0,1.0,1,track_0,,unknown,standing
5103.0,5104.0,1.0,1,track_1,,unknown,unknown
5104.0,5105.0,1.0,1,track_0,,unknown,unknown
